ID,TXT
0,未知
1,业务全阻
2,业务受影响
3,可能业务全阻
4,可能业务受影响
5,可能局部业务受阻
6,无影响
7,业务质量下降
8,业务可能局部受阻
9,业务局部受阻
10,TDS业务可能全阻
11,TDS业务质量下降
12,TDS业务局部受阻
13,TDS业务可能局部受阻
14,TDL业务局部受阻
15,TDL业务全部受阻
16,TDL业务可能局部受阻
17,TDL业务可能全阻
21,语音拨测（网间）业务
22,语音拨测（网内）业务
23,短信拨测（网间）业务
24,短信拨测（网内）业务
25,彩信拨测（网间）业务
26,彩信拨测（网内）业务
27,wap（cmwap）拨测业务
28,internet（cmnet）拨测业务
29,可能业务局部故障
30,业务性能下降
31,业务局部故障
32,业务不受影响
33,可能业务受影响 
34,业务受影响 
35,可能业务质量下降
36,可能引起业务中断
37,可能影响告警上报
38,某ATM口有SDH/SONET无法使用
39,对具有冗余机制的业务无影响
40,有影响
41,设备性能下降
42,可能设备局部故障
43,测量受影响
44,计费受影响
45,可能业务质量降低
46,网管管理受影响
47,业务、计费、测量均受影响
48,业务、计费、测量可能均受影响
49,业务质量可能下降
50,业务中断
51,业务衰减
52,业务可能全阻
53,业务可能受影响
54,可能局部业务受影响
55,不影响业务
56,业务劣化
57,可能设备全阻
58,设备局部故障
59,设备全阻
60,中断当前业务
61,业务局部受影响
62,可能业务局部受影响
63,可能导致集团重大故障
64,可能影响用户感知
901,影响语音
902,影响上网
903,影响家宽
904,影响语音和上网
905,影响家宽和集客
1416,单板被闭塞，单板所承载的业务中断。
1417,"1. 由于到同一局向的多条MTP3链路以负荷分担方式工作，因此如果到某一局向的部分MTP3链路故障，则导致处于业务态的MTP3链路负载增大。
2. 如果到某一局向的MTP3链路全部故障，将导致到该局向的信令业务不能正常接续。"
1418,拥塞会导致传输延迟，一般情况下对业务无影响，严重时会导致呼损或业务接入成功率下降。
1419,偶联中断，可能影响偶联的上层业务（一般是信令链路）。例如可能会引起信令局向不可达，或可能导致其他可用偶联业务量增大。
1420,站点下属的各个小区无法提供任何语音或者数据业务。
14001,该设备告警，性能，配置数据均无法上报到网管
14002,业务可能局部受阻
14004,业务无影响
14007,业务局部受影响
14008,可能设备全阻
14009,计费受影响
14010,测量受影响
14011,业务、计费、测量可能均受影响
14012,"This alarm is based on tracking the frequency of OOS alarms and clears for the MMS. When the MMS has reported OOS alarms and clears 10 times within the last 10 minutes(the MMS is unstable), the last clear is reported but the MMS is kept OOS and this alarm is reported.This alarm can be cleared by an INS of the MMS which will put the MMS back into service(if no OOS alarms are active). Also, there is a periodic audit of how frequently the OOS alarms and clears are occurring. Anytime the occurrences fall below the threshold, this alarm is cleared and the MMS enabled."
14013,业务、计费、测量均受影响
14014,设备性能下降
14015,可能设备局部故障
14016,设备局部故障
14017,可能业务 受影响
14018,业务不受影响
14019,不影响
14020,影响
14021,影响业务运行安全
14023,各省自行梳理
14024,单元故障
14026,影响话单传递
14027,可能影响业务
14028,不影响业务
14029,设备可能受阻
14030,TDS业务可能全阻
14031,TDS业务质量下降
14032,TDS业务局部受阻
14033,TDS业务可能局部受阻
14034,TDL业务局部受阻
14035,TDL业务全部受阻
14036,TDL业务可能局部受阻
14037,TDL业务可能全阻
14038,无
14040,TDL业务全阻
14042,可能业务局部受影响
14043,可能设备性能下降
14044,内部通信故障
14045,视监控指标决定
14046,网管设备运行受影响
14047,CPU负荷过高可能会引起设备运行异常，如果配置了CPU话控功能，业务量很大时可能会导致呼叫失败，注册失败等业务质量下降。
14048,新注册用户由于CPU过载被阻塞
14049,边界网关上配置的试用License所承载的注册、呼叫将会中断
14050,对于设备而言我们以前主要是用flash来存储文件，后来增加了硬盘，只有在硬盘不工作的情况下才用flash，所以如果设备有硬盘的话，这类告警通常没有，因为读写的都为硬盘介质，但如果只有flash的设备的话，那么影响是比较大的，因为flash上放置的是版本和配置，如果是硬件坏了，那么整个设备都不起作用了，如果是更新软件的话，那回退版本还是没有问题的。
14051,无法进行离线计费，导致商业损失
14052,可能会引起设备运行温度过高。
14053,"DIAMETER链路断，基于DIAMETER协议栈的CSCF网元与CG计费网关之间消息收发会失败。CG网元因为收不到CSCF网元的计费请求消息，因此不能进行正常计费功能，对此时要进行计费的用户会计费失败,导致商业损失。"
14054,引起这个端口的网络功能异常，业务中断
14055,"DIAMETER协议栈暂时无法正常工作，CG网元不能正常计费，导致部分业务中断。
B200网元发送计费ACR请求消息，到达DIAMETER协议栈后，协议栈此时的会话资源已耗尽（达到100%），无法接受和处理新的消息，消息会被丢掉，ACR不能正常发送到CG网元；CG网元因为收不到B200网元的计费请求消息，因此不能进行正常计费功能，对此时要进行计费的用户会计费失败,导致商业损失。"
14056,在ia口链路down时，所有的ia口消息都不能正常的发送到对端设备。
14057,DIAMETER协议栈暂时无法工作，业务暂时无法开始新的会话
14058,可能产生主备倒换、或产生呼损
14059,DIAMETER协议栈暂时无法工作，业务暂时不能发送请求消息
14060,如协议未配置呼叫放通会导致呼损
14061,DIAMETER协议栈暂时无法工作，业务暂时不能发送请求消息
14062,可能会产生呼损
14063,离线计费ACR被写入文件，无法及时将ACR发给CG，导致商业损失
14064,可能导致呼唤或主备倒换
14065,对应的补丁故障或者功能无法实现
14066,设备序列号异常无法激活license，业务中断，系统复位
14067,特通监听的TCP链接出问题后，会导致特通监听无法监听
14068,DNS查询失败，相关注册、呼叫业务受阻
14069,业务使用本地固化的Cache进行DNS域名解析
14070,写盘操作可能会丢失
14071,积压ACR文件占用的硬盘空间达到了配置的最大可用空间，离线计费失败，导致商业损失。
14072,不能及时将ACR话单发给CG，当ACR不断被写入文件，文件占用的硬盘空间达到一定限制后，之后产生的离线计费话单会丢弃，从而导致计费失败，无法进行离线计费，导致商业损失。
14073,离线计费数据区占用率过高。如果话单池占用率达到阈值时呼叫处理模式配置为“拒绝”，可能会造成呼叫被释放。
14074,如果边界网关所承载的呼叫/注册数量进一步上升，超过系统License配置中针对最大并发在线呼叫许可容量部分的会话建立请求将被拒绝，产生呼损降低系统接通率；随着并发呼叫数量的下降，将恢复正常。
14075,当通配号码资源耗尽后，后续通配用户注册失败。
14076,"新注册用户由于CPU过载被阻塞
·部分已注册成功低优先级的白名单用户，被阻塞，无法发起呼叫
·CPU冲高，系统存在超负荷工作的风险，影响部分已注册用户的正常呼叫"
14077,"1、进入循环处理，有自恢复情况，如果是业务任务或者协议栈进入循环处理，可能导致业务的延迟或者断续
如果时间超过1分钟，会导致系统复位。
2、如果是信令媒体合一设备，复位期间所有新发起业务请求都会失败，所有当前正在进行的业务会中断。
3、如果是单纯信令面设备复位，已经开始的数据不会中断，新发起业务失败。
4、如果是媒体设备复位，当前所有数据业务会中断，新注册业务正常，新呼叫等数据业务会失败。
5、如果系统做了备份冗余，设备复位会导致业务转移到备份设备进行，业务不受影响。"
14078,配置的DNS服务器不能为SBC服务，系统配置中使用到该DNS域名的业务，都会受到影响；如果配置的存在备用DNS服务器，且该DNS没有创建socket失败告警，对系统的影响相对会小些
14079,试用License超期后边界网关上配置的试用License所承载的注册、呼叫将会中断，超期之前业务不会受到影响
14080,可能会引起设备网管操作失败，影响网管对网元的正常的管理，如果为其它网管误配置或者受到网络工具的端口扫描攻击，还会降低设备的性能，使正常运行的业务受到影响降低效率和质量。
14081,系统散热存在问题，环境温度升高
